gnome-clocks 42.0-1
gnome-common 3.18.0-4
gnome-desktop 1:42.4-1
gnome-desktop-4 1:42.4-1
gnome-desktop-common 1:42.4-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-mines 40.1-1
gnome-video-effects 0.5.0+4+g9554041-2
gnugo 3.8-7
gnupg 2.2.40-1
gnutls 3.7.8-1
go 2:1.19.2-1
gobject-introspection 1.74.0-1
gobject-introspection-runtime 1.74.0-1
godot 3.5.1-1
google-chrome 106.0.5249.119-1
gopls 0.9.5-1
goverlay-git 0.9.r12.g1ab728d-1
gpart 0.3-4
gparted 1.4.0-1
gperf 3.1-3
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
gradle 7.5.1-1
gradle-src 7.5.1-1
granatier 22.08.2-1
grantlee 5.3.0-1
grantlee-editor 22.08.2-1
grantleetheme 22.08.2-1
graphene 1.10.8-1
graphicsmagick 1.3.38-5
graphite 1:1.3.14-2
graphviz 6.0.2-1
grep 3.8-2
groff 1.22.4-7
groovy 4.0.5-1
grpc 1.50.0-1
grpc-cli 1.50.0-1
grub 2:2.06.r334.g340377470-1
grub-btrfs 4.11-2
grub-customizer 5.2.2-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gsmartcontrol 1.1.4-1
gsound 1.0.3-2
gspell 1.12.0-1
gssdp 1.4.0.1-1
gst-libav 1.20.4-1
gst-plugins-bad 1.20.4-1
gst-plugins-bad-libs 1.20.4-1
gst-plugins-base 1.20.4-1
gst-plugins-base-libs 1.20.4-1
gst-plugins-good 1.20.4-1
gstreamer 1.20.4-1
gstreamer-vaapi 1.20.4-1
gtest 1.12.1-1
gtk-doc 1.33.2-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.8.1-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.34+r156+g812b3930d0-1
gtk4 1:4.8.1-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview4 4.8.3-1
gtkspell3 3.0.10-2
gtop 1.1.3-1
gts 0.7.6.121130-2
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gv 3.7.4-5
gwenview 22.08.2-1
gzip 1.12-1
harfbuzz 5.3.0-1
harfbuzz-icu 5.3.0-1
harmonyos-sans-git r75.0d79cad-1
harvid 0.9.0-1
hddtemp 0.3.beta15.53-3
hdf5 1.12.2-1
hdparm 9.65-1
help2man 1.49.2-1
helvum 0.3.4-1
hexo-cli 4.3.0-6
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highway 1.0.1-1
hmcl-bin 3.5.3.223-1
htop 3.2.1-1
http-parser 2.9.4-1
hugo 0.104.3-1
hunspell 1.7.1-1
hwdata 0.363-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyphen 2.8.8-4
i2c-tools 4.3-3
iana-etc 20220915-1
ibam 0.5.2-9
icalingua++ 2.7.3-1
icoextract 0.1.4-1
